,,,,,,,,,,,,,,,,,C,,,,E,,,,,,,,,
,,,,,,,,,,,,,,B,,,E,,,,X,,,,,,,,,
,,,,,,,,,,,,,,I,,,R,,,,A,,,,,,,,,
,,,,,,,,,,,,,,V,,,U,L,T,I,M,E,,,,,,,,
,,,,,,,S,,,,,,,A,,,L,,,,E,,,T,A,V,E,R,N,E
,,,,,,,H,,,,,,,L,,M,E,R,,,N,O,T,E,S,,,,,
,,,,,,H,A,M,A,C,,,,V,,A,A,A,,,,,R,A,S,E,R,,,
,,P,,,,,L,,,O,,M,,E,P,I,N,G,L,E,S,,O,,I,,,,,
,,R,,,,,L,,,N,,A,,S,O,L,,E,,,,O,U,E,S,T,,,,
,E,O,N,,,D,O,C,T,E,U,R,,,U,,,,,T,E,R,,,,,,,,
,,V,,,,,W,,,,,I,,,L,,,,,,,A,,M,,,,,,
,,E,,,,M,,,,,C,O,R,N,E,M,U,S,E,,,G,,A,,,,,,
M,A,N,T,E,C,A,D,O,S,,,N,,,N,,,H,,,S,E,E,N,,,,,,
,,C,,,,D,,,E,,,D,,,A,,,O,,,H,,,G,,,,,,
,C,E,R,E,G,E,,,S,,G,U,A,R,I,M,P,R,I,M,A,N,T,E,,,,,,
,,,,,,L,,,A,,,F,,,S,U,I,T,,,K,,,N,,,,,,
,,,,,,E,,,M,,,R,,,,E,N,,,,S,E,P,T,,,,,,
,,,M,A,B,I,C,H,E,,,E,,,,,K,,,,H,,,,,,,,,
,,,,,,N,,,,,,S,,,,,Y,,,C,O,C,O,O,N,,,,,
,,,,,,E,S,P,E,R,A,N,C,E,,,,,,,U,,,,A,,,,,
,,,,,,S,,O,,,,E,,S,,,,,,,K,,,,T,,,,,
,,,,,,,,L,,,,,,P,U,B,,,,,A,I,X,,U,,,,,
,,,,,,,D,O,D,O,S,,C,A,N,A,R,D,,,,,A,,R,,,,,
,,,,,,,,G,,U,,,,G,O,,U,,,,,,V,,I,,,,,
,,,,,,L,O,N,D,R,E,S,,N,,,S,,,,,K,I,S,S,E,S,,,
,,,,,,,,E,,S,,,B,E,A,N,S,,,,,,E,,T,,,,,
,,,,,,,,,,I,,,,,,,E,,,,,,R,,E,,,,,
,,,,,,,,Z,A,N,A,H,O,R,I,A,S, ,,,,,,,,,,,,
